timestamp,fpart,marketcap,available_supply,max_supply,as_percent_long,as_percent_short,total_longs_usd,total_shorts_usd
2019-05-01 14:19:23.645888,BTC,95002906090.0,17676087.0,21000000.0,0.1027,0.1746,104063316,176256084
2019-05-01 14:19:23.645888,ETH,17039209851.0,105887772.0,,0.34,0.11,59914706,18772736
2019-05-01 14:19:23.645888,EOS,4488277585.0,943954413.0,,1.279,0.648,59047124,30098108
2019-05-01 14:19:23.645888,XRP,12808393220.0,42004966728.0,100000000000.0,0.259,0.0301,34449860,4065096
2019-05-01 14:19:23.645888,BAB,4774262380.0,17758350.0,21000000.0,0.07719999999999999,0.30300000000000005,3855384,14945861
2019-05-01 14:19:23.645888,LTC,4497151337.0,61580608.0,84000000.0,0.537,0.215,25326004,10285867
